(Proteins Complexes Compounds),Object ID,Gene
chitin disaccharide deacetylase,EG12198-MONOMER,chbG
xanthine-guanine phosphoribosyltransferase,GPT-CPLX,
DNA-binding transcriptional dual regulator H-NS,PD00288,hns
putative selenium transporter,EG11660-MONOMER,yedE
periplasmic chaperone OsmY,EG11391-MONOMER,osmY
primosomal replication protein N,CPLX0-3,
CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system,G6120-MONOMER,ykfI
tetrahydrodipicolinate succinylase,MONOMER0-2001,dapD
UDP-NACMURALGLDAPLIG-MONOMER,UDP-NACMURALGLDAPLIG-MONOMER,murE
glutathione synthetase,GLUTATHIONE-SYN-CPLX,
protein YmgC,G6607-MONOMER,ymgC
DUF2065 domain-containing protein YjeT,G7844-MONOMER,yjeT
CPZ-55 prophage; uncharacterized protein YffP,G7277-MONOMER,yffP
methylmalonyl-CoA decarboxylase,CPLX0-254,
cell division protein FtsN,EG11529-MONOMER,ftsN
rare lipoprotein RlpA,EG10854-MONOMER,rlpA
D-galactose/methyl-galactoside ABC transporter ATP binding subunit,MGLA-MONOMER,mglA
dTDP-glucose pyrophosphorylase 2,CPLX0-8012,
putative mutase YhfW,G7732-MONOMER,yhfW
cellulose synthase catalytic subunit,EG12260-MONOMER,bcsA
carbon-phosphorus lyase core complex subunit PhnJ,EG10719-MONOMER,phnJ
galactoside <i>O</i>-acetyltransferase,GALACTOACETYLTRAN-CPLX,
DUF3029 domain-containing protein YjjI,EG12171-MONOMER,yjjI
DNA-binding transcriptional activator CspA,PD03695,cspA
DNA-binding transcriptional dual regulator OxyR,PD00214,oxyR
thiosulfate sulfurtransferase GlpE,CPLX0-242,
putative assembly protein AsmA,EG11361-MONOMER,asmA
3' &rarr; 5' ssDNA/RNA  exonuclease TatD,EG11481-MONOMER,tatD
2-oxoglutaramate amidase,G6103-MONOMER,yafV
murein tripeptide amidase A,CPLX0-7989,
tryptophan synthase subunit &alpha;,TRYPSYN-APROTEIN,trpA
reactive chlorine species resistance protein C,G6171-MONOMER,rclC
e14 prophage; uncharacterized protein YmfL,G6591-MONOMER,ymfL
flagellar motor complex,FLAGELLAR-MOTOR-COMPLEX,
protein YfeK,G7260-MONOMER,yfeK
putative ABC transporter membrane subunit YadH,YADH-MONOMER,yadH
30S ribosomal subunit protein S22,EG11508-MONOMER,sra
NADPH-dependent FMN reductase,CPLX0-224,
mannose-specific PTS enzyme IIC component,MANY-MONOMER,manY
DUF463 domain-containing protein YcjX,G6659-MONOMER,ycjX
sulfurtransferase complex subunit TusD,G7714-MONOMER,tusD
HypT-[Met]reduced,CPLX0-7970,
Pal - outer membrane lipoprotein of the Tol-Pal system,EG10684-MONOMER,pal
putative inner membrane protein,G7337-MONOMER,yphA
lipoprotein NlpE,EG12137-MONOMER,nlpE
enolase,ENOLASE-CPLX,
orotate phosphoribosyltransferase,OROPRIBTRANS-MONOMER,pyrE
bifunctional aconitate hydratase B and 2-methylisocitrate dehydratase,ACONITATEDEHYDRB-MONOMER,acnB
lipopolysaccharide core heptose (I) kinase,EG11340-MONOMER,waaP
"enamine/imine deaminase, redox regulated chaperone",CPLX0-1881,
flagellar hook-length control protein,G379-MONOMER,fliK
RNase II,EG11620-MONOMER,rnb
transaldolase A,TRANSALDOLA-MONOMER,talA
zinc-binding phosphatase,CPLX0-7945,
"L,D-transpeptidase YcfS",G6571-MONOMER,ldtC
protein HokC,MONOMER0-1564,hokC
YpdI  colanic acid synthesis lipoprotein,G7239-MONOMER,ypdI
dihydroxy-acid dehydratase,DIHYDROXYACIDDEHYDRAT-CPLX,
maltose ABC transporter membrane subunit MalG,MALG-MONOMER,malG
uncharacterized protein YjcZ,G7823-MONOMER,yjcZ
conserved protein YrdB,G7697-MONOMER,yrdB
bacterioferritin,CPLX0-1421,
endonuclease IV,EG10651-MONOMER,nfo
DNA repair protein RecR,EG10834-MONOMER,recR
DNA utilization protein HofQ,EG12113-MONOMER,hofQ
mannose-specific PTS enzyme IIAB component,CPLX0-7921,
nucleoside:H<sup>+</sup> symporter NupG,NUPG-MONOMER,nupG
EG12237-MONOMER,EG12237-MONOMER,arsC
Qin prophage; lysis protein,EG11303-MONOMER,ydfD
D-amino acid dehydrogenase,DALADEHYDROG-CPLX,
thiamine kinase,THIKIN-MONOMER,thiK
DNA-binding transcriptional repressor DeoR,PD01196,deoR
cardiolipin synthase C,G6551-MONOMER,clsC
tRNA-guanine transglycosylase,CPLX0-1101,
CPS-53 (KpLE1) prophage; serotype specific glucosyl transferase,G7221-MONOMER,yfdI
peptide deformylase,EG11440-MONOMER,def
L-serine deaminase II,LSERINEDEAM2-MONOMER,sdaB
NusB-S10 complex,CPLX0-7879,
DNA-binding transcriptional dual regulator NanR,G7678-MONOMER,nanR
putative LysR family substrate binding domain-containing protein YagP,G6153-MONOMER,yagP
DNA-binding transcriptional repressor MprA,EG10603-MONOMER,mprA
protein/nucleic acid deglycase 1,CPLX0-861,
flavin transferase,EG12073-MONOMER,ftp
ATP-binding protein with possible role in replication,UUP-MONOMER,uup
putative menaquinol-cytochrome <i>c</i> reductase subunit NrfD,NRFD-MONOMER,nrfD
galactosamine-specific PTS enzyme II (cryptic),CPLX-170,
DNA-binding transcriptional activator GlrR,EG11285-MONOMER,glrR
lipopolysaccharide assembly protein A,G6637-MONOMER,lapA
fumarase B,FUMB-MONOMER,fumB
"predicted structural protein, ethanolamine utilization microcompartment",CPLX0-7836,
twin arginine protein translocation system - TatA protein,TATA,tatA
protein YfgG,G7315-MONOMER,yfgG
"partially <i>N</i>-deacetylated poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine outer membrane porin",G6531-MONOMER,pgaA
HigB-HigA toxin/antitoxin complex and DNA-binding transcriptional repressor,CPLX0-8230,
putative fimbrial protein YfcP,G7204-MONOMER,yfcP
acyltransferase,AAS-MONOMER,aas
acetohydroxy acid synthase I subunit IlvB,LARGEILVB-MONOMER,ilvB
"citrate lyase, citrate-acyl carrier protein transferase component",CITTRANS-CPLX,
leucine exporter,G6984-MONOMER,leuE
lipoyl(octanoyl) transferase,EG11591-MONOMER,lipB
"putative hydrolase, inner membrane",G7655-MONOMER,yhbX
disulfide reductase,CPLX0-7806,
lipoprotein signal peptidase,EG10548-MONOMER,lspA
hydrogenase 4 component H,MONOMER0-144,hyfH
C4 dicarboxylate/orotate:H<sup>+</sup> symporter,DCTA-MONOMER,dctA
UTP&mdash;glucose-1-phosphate uridylyltransferase,CPLX0-8205,
pyrimidine-specific ribonucleoside hydrolase RihB,EG12030-MONOMER,rihB
putative heat shock chaperone,G7763-MONOMER,yrhB
NICOTINATEPRIBOSYLTRANS-MONOMER,NICOTINATEPRIBOSYLTRANS-MONOMER,pncB
"ribonucleoside-diphosphate reductase 1, &beta; subunit dimer",B2-CPLX,
ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system,EG11250-MONOMER,chpS
peptidyl-tRNA hydrolase,EG10785-MONOMER,pth
putative PTS enzyme IIA component FrvA,FRVA-MONOMER,frvA
DNA-binding transcriptional dual regulator MetR,CPLX0-7759,
threonine-rich inner membrane protein GfcA,G6508-MONOMER,gfcA
PanD maturation factor,EG12211-MONOMER,panZ
putative divalent anion:Na<sup>+</sup> symporter family transporter YfbS,G7186-MONOMER,yfbS
nonspecific DNA-binding protein YbiB,CPLX0-8184,
KDO transferase,KDOTRANS-MONOMER,waaA
DNA-binding transcriptional repressor MarR,PD00364,marR
methylglyoxal reductase YeaE,G6967-MONOMER,yeaE
aspartate carbamoyltransferase catalytic subunit,ASPCARBCAT-TRIMER,
putative fimbrial usher protein YraJ,G7639-MONOMER,yraJ
DNA polymerase III subunit &chi;,EG11413-MONOMER,holC
alkaline phosphatase isozyme conversion protein,EG10488-MONOMER,iap
cytochrome <i>bo</i><sub>3</sub> ubiquinol oxidase subunit III,CYOC-MONOMER,cyoC
IS30 transposase,G6131-MONOMER,insI-1
high-affinity pyruvate receptor,EG12007-MONOMER,btsS
putative zinc-binding dehydrogenase YdjL,G6963-MONOMER,ydjL
<i>sn</i>-glycerol 3-phosphate ABC transporter membrane subunit UgpA,UGPA-MONOMER,ugpA
putative galactosamine-6-phosphate isomerase,G7636-MONOMER,agaI
hydrogenase 3 maturation protein HypC,EG10485-MONOMER,hypC
hemolysin E,G6619-MONOMER,hlyE
CYNX-MONOMER,CYNX-MONOMER,cynX
DUF1307 domain-containing protein YehR,EG12004-MONOMER,yehR
phosphate acetyltransferase EutD,G7288-MONOMER,eutD
NapA signal peptide-binding chaperone NapD,NAPD-MONOMER,napD
putative succinate exporter YjjB,EG11215-MONOMER,yjjB
peptidase T,EG11549-MONOMER,pepT
flagellar basal-body rod protein FlgG,FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN,flgG
serine acetyltransferase,SERINE-O-ACETTRAN-MONOMER,cysE
molybdate ABC transporter periplasmic binding protein,MODA-MONOMER,modA
6-<i>N</i>-hydroxylaminopurine resistance protein,G6487-MONOMER,ycbX
holo-[acyl-carrier protein],ACP-MONOMER,acpP
G7166-MONOMER,G7166-MONOMER,arnB
heat shock protein Hsp15,G7743-MONOMER,hslR
"formate hydrogenlyase complex, iron-sulfur protein HycF",HYCF-MONOMER,hycF
conserved protein Ves,G6938-MONOMER,ves
DNA polymerase I,EG10746-MONOMER,polA
conserved protein YqjK,G7614-MONOMER,yqjK
nitric oxide dioxygenase,EG10456-MONOMER,hmp
curved DNA-binding protein,EG12193-MONOMER,cbpA
coproporphyrinogen III oxidase,COPROGENOXI-MONOMER,hemF
putative O-antigen polymerase,EG11982-MONOMER,wbbH
DNA-binding transcriptional dual regulator Fur,PD00260,fur
N-acetylglutamate synthase,N-ACETYLTRANSFER-MONOMER,argA
glutaredoxin-like protein,G7401-MONOMER,nrdH
DNA damage-inducible protein D,EG11193-MONOMER,dinD
"alkyl hydroperoxide reductase, AhpF component",EG11385-MONOMER,ahpF
ferric citrate ABC transporter membrane subunit FecC,FECC-MONOMER,fecC
putrescine ABC exporter membrane subunit SapB,SAPB-MONOMER,sapB
DNA polymerase IV,G6115-MONOMER,dinB
ribosomal protein S12 methylthiotransferase accessory factor YcaO,G6468-MONOMER,ycaO
DUF2542 domain-containing protein YeiS,G7144-MONOMER,yeiS
soluble pyridine nucleotide transhydrogenase,UDHA-MONOMER,sthA
protein/nucleic acid deglycase 3,HMP-KIN-MONOMER,yajL
"putative electron transport flavoprotein, FAD-binding",G6921-MONOMER,ydiR
DNA-binding transcriptional repressor BluR,G6602-MONOMER,bluR
putative tRNA synthetase,G7597-MONOMER,ygjH
EG10397-MONOMER,EG10397-MONOMER,glpG
CPZ-55 prophage; putative phage integrase IntZ,G7272-MONOMER,intZ
fused chorismate mutase/prephenate dehydrogenase,CHORISMUTPREPHENDEHYDROG-MONOMER,tyrA
putative multidrug efflux pump membrane fusion protein,EG11954-MONOMER,mdtN
uncharacterized protein YbfB,EG11522-MONOMER,ybfB
"glycolate dehydrogenase, putative iron-sulfur subunit",MONOMER0-561,glcF
protein YhaB,EG11173-MONOMER,yhaB
METHYLGLYREDUCT-MONOMER,METHYLGLYREDUCT-MONOMER,
ethanolamine ammonia-lyase subunit &alpha;,EUTB-MONOMER,eutB
ribulokinase,RIBULOKIN-MONOMER,araB
putative DNA-binding transcriptional regulator FrlR,G7727-MONOMER,frlR
putative inner membrane protein,G6448-MONOMER,ybjO
IPR002035 domain-containing protein YegL,G7112-MONOMER,yegL
conserved protein YjdN,EG10712-MONOMER,yjdN
putative 3-phenylpropionate/cinnamate dioxygenase subunit &beta;,HCAA2-MONOMER,hcaF
putative 4Fe-4S ferredoxin-type protein,G6902-MONOMER,ydhY
16S rRNA m<sup>5</sup>C967 methyltransferase,EG12163-MONOMER,rsmB
DNA-binding transcriptional activator QseB,G7575-MONOMER,qseB
cell division protein FtsA,EG10339-MONOMER,ftsA
DNA-binding transcriptional dual regulator Fis,PD00196,fis
heme trafficking system membrane protein CcmC,CCMC-MONOMER,ccmC
DNA-binding transcriptional repressor Zur,EG11929-MONOMER,zur
"RNA polymerase, sigma 28 (sigma F) factor",EG11355-MONOMER,fliA
putative protein YmiB,MONOMER0-4368,ymiB
putative lipoprotein YfiB,EG11152-MONOMER,yfiB
modulator of Rho-dependent transcription termination,G6097-MONOMER,rof
50S ribosomal subunit protein L21,EG50001-MONOMER,rplU
<i>O</i>-antigen flippase,RFBX-MONOMER,rfbX
methyl-accepting chemotaxis protein Trg,TRG-MONOMER,trg
putative pyruvate formate-lyase activating enzyme,G6427-MONOMER,ybiY
RNA polymerase sigma 54,RNAP54-CPLX,
putative colanic acid biosynthesis pyruvyl transferase,G7096-MONOMER,wcaK
e14 prophage; protein YmfH,G6586-MONOMER,ymfH
xanthine-guanine phsophoribosyltransferase,GPT-MONOMER,gpt
HlyD_D23 family protein YdhJ,G6884-MONOMER,ydhJ
DUF2502 domain-containing protein YpeC,G7252-MONOMER,ypeC
putative ATP-binding protein YghS,G7551-MONOMER,yghS
RNA polymerase sigma 19,CPLX0-221,
ferrichrome outer membrane transporter/phage receptor,EG10302-MONOMER,fhuA
DNA polymerase III subunit &delta;',EG11500-MONOMER,holB
thioredoxin/glutathione peroxidase,BTUE-MONOMER,btuE
putative DNA-binding transcriptional regulator YijO,EG11913-MONOMER,yijO
MANNONOXIDOREDUCT-MONOMER,MANNONOXIDOREDUCT-MONOMER,uxuB
IS2 element transposase InsAB',MONOMER0-4256,insCD-3
RNA polymerase sigma 70,RNAP70-CPLX,
Qin prophage; toxic protein HokD,EG11130-MONOMER,hokD
Type II secretion system protein GspJ,G7709-MONOMER,gspJ
RNA chaperone ProQ,EG12866-MONOMER,proQ
50S ribosomal subunit protein L16,EG10877-MONOMER,rplP
proline:Na<sup>+</sup> symporter,PUTP-MONOMER,putP
outer membrane porin C,EG10670-MONOMER,ompC
endonuclease/exonuclease/phosphatase domain-containing protein YbhP,G6407-MONOMER,ybhP
RNA polymerase sigma 28,CPLX0-222,
CP4-44 prophage; TonB-dependent receptor plug domain-containing protein YoeA,G7075-MONOMER,yoeA_1
iron-sulfur cluster biosynthesis chaperone HscA,EG12130-MONOMER,hscA
glycerophosphodiester phosphodiesterase,GLYCPDIESTER-CYTO-MONOMER,ugpQ
conserved protein YdgA,G6865-MONOMER,ydgA
murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppD,OPPD-MONOMER,oppD
putative Fe<sup>2+</sup>-trafficking protein,G7532-MONOMER,yggX
RNA polymerase sigma 24,RNAPE-CPLX,
membrane-bound lytic murein transglycosylase D,EG10246-MONOMER,mltD
2-octaprenylphenol hydroxylase,EG11333-MONOMER,ubiI
betaine aldehyde dehydrogenase,BADH-MONOMER,betB
putative DNA-binding transcriptional regulator DctR,EG11889-MONOMER,dctR
TNAB-MONOMER,TNAB-MONOMER,tnaB
IS5 transposase and trans-activator,MONOMER0-4240,insH-10
RNA polymerase sigma 32,RNAP32-CPLX,
leucyl/phenylalanyl-tRNA&mdash;protein transferase,EG11112-MONOMER,aat
outer membrane lipoprotein - activator of MrcB activity,G6565-MONOMER,lpoB
ribosome assembly factor YhbY,EG12794-MONOMER,yhbY
amidophosphoribosyltransferase,PRPPAMIDOTRANS-MONOMER,purF
multidrug efflux pump membrane fusion protein EmrK,G7233-MONOMER,emrK
5-oxoprolinase component A,G6382-MONOMER,pxpA
RNA polymerase sigma S,RNAPS-CPLX,
protein/nucleic acid deglycase 1,G7055-MONOMER,hchA
malate dehydrogenase,MALATE-DEHASE-MONOMER,mdh
glutamate decarboxylase A,GLUTDECARBOXA-MONOMER,gadA
conserved inner membrane protein YnfA,G6840-MONOMER,ynfA
AsmA2 domain-containing protein,G7690-MONOMER,yhdP
conserved protein YqfE,G7515-MONOMER,yqfE
cell division protein DedD,EG10218-MONOMER,dedD
DNA mismatch repair protein MutH,EG10624-MONOMER,mutH
multidrug efflux pump RND permease subunit MdtB,B2075-MONOMER,mdtB
putative transcriptional regulator FrvR,EG11861-MONOMER,frvR
T2SSE family protein,EG12106-MONOMER,hofB
protein IroK,MONOMER0-4224,iroK
fermentation-respiration switch protein,EG11091-MONOMER,frsA
NADH:quinone oxidoreductase subunit K,NUOK-MONOMER,nuoK
recombination factor,EG12690-MONOMER,rarA
"guanosine-5'-triphosphate,3'-diphosphate phosphatase",PPPGPPHYDRO-MONOMER,gpp
nucleoside triphosphate pyrophosphatase YhdE,EG11298-MONOMER,yhdE
"Hsc56, co-chaperone of Hsc62",G6356-MONOMER,djlC
putative ABC transporter ATP-binding protein YphE,YPHE-MONOMER,yphE
thiamine phosphate synthase,THIE-MONOMER,thiE
universal stress protein C,G7031-MONOMER,uspC
<i>D</i>-glucarate dehydratase,GLUCARDEHYDRA-MONOMER,gudD
curli transport specificity factor,G6545-MONOMER,csgE
Qin prophage; protein YnfN,G6824-MONOMER,ynfN
conserved protein YqeC,G7495-MONOMER,yqeC
intermembrane phospholipid transport system - outer membrane lipoprotein MlaA,G7216-MONOMER,mlaA
ATP-dependent Clp protease ATP-binding subunit ClpA,EG10156-MONOMER,clpA
DUF883 domain-containing protein YgaM,B0899-MONOMER,ygaM
branched chain amino acid/phenylalanine ABC transporter membrane subunit LivH,LIVH-MONOMER,livH
putative TIM barrel domain-containing protein,EG11839-MONOMER,yihM
DNA mismatch endonuclease of the very short patch (VSP) mismatch repair pathway,EG11068-MONOMER,vsr
putative c-di-GMP phosphodiesterase PdeD,G6996-MONOMER,pdeD
protein-glutamine N-methyltransferase,EG12449-MONOMER,prmB
pyruvate kinase II,PKII-MONOMER,pykA
putative fimbrial usher protein YhcD,G7670-MONOMER,yhcD
ParB-like nuclease domain-containing protein YbdM,G6330-MONOMER,ybdM
putative sialic acid transporter,YJHB-MONOMER,yjhB
Z-ring positioning protein MinC,EG10596-MONOMER,minC
phosphoprotein phosphatase 1,G7011-MONOMER,pphA
fused glutamine synthetase deadenylase/glutamine synthetase adenylyltransferase,GLNE-MONOMER,glnE
adhesin-like autotransporter YejO,EG12051-MONOMER,yejO
conserved inner membrane protein YneE,G6807-MONOMER,yneE
protein YgeN,G7478-MONOMER,ygeN
ribonucleoside-diphosphate reductase 1 subunit &alpha;,NRDA-MONOMER,nrdA
EG10108-MONOMER,EG10108-MONOMER,bcp
ATP synthase F<sub>1</sub> complex subunit &beta;,ATPD-MONOMER,atpD
putative general secretion pathway protein B,EG11263-MONOMER,gspB
"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",EG11816-MONOMER,ispF
uncharacterized protein YnbG,MONOMER0-2873,ynbG
L-fuculokinase,FUCULOKIN-MONOMER,fucK
protamine-like protein,EG11016-MONOMER,tpr
zinc finger domain-containing protein YbiI,EG12421-MONOMER,ybiI
superoxide dismutase (Mn),SUPEROX-DISMUTMN-MONOMER,sodA
methylphosphonate degradation complex subunit PhnL,PHNL-MONOMER,phnL
DLP12 prophage; putative lipoprotein BorD,G6312-MONOMER,borD
pyrimidine oxygenase,G6523-MONOMER,rutA
"putative 2,3-dihydroxypropane-1-sulfonate export protein",YIHP-MONOMER,yihP
GALPMUT-MONOMER,GALPMUT-MONOMER,glf
fused 5-methylaminomethyl-2-thiouridine-forming methyltransferase and FAD-dependent demodification enzyme,G7199-MONOMER,mnmC
putative lipoprotein YddW,G6785-MONOMER,yddW
DUF903 domain-containing lipoprotein YgdR,G7461-MONOMER,ygdR
L-glutamine&mdash;D-fructose-6-phosphate aminotransferase,L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER,glmS
transmembrane component of cytoskeleton,EG10015-MONOMER,rodZ
aspartate-semialdehyde dehydrogenase,ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER,asd
DUF333 domain-containing protein YoaF,G6979-MONOMER,yoaF
putative colanic biosynthesis glycosyl transferase,EG11790-MONOMER,wcaI
ThDP adenylyl transferase,MONOMER0-2838,
putative acyltransferase with acyl-CoA N-acyltransferase domain,G7650-MONOMER,yhbS
inositol-phosphate phosphatase,EG10983-MONOMER,suhB
L-2-hydroxyglutarate oxidase,EG12387-MONOMER,lhgO
signal peptidase I,EG10530-MONOMER,lepB
putative fimbrial chaperone SfmC,G6291-MONOMER,sfmC
dipeptide/tripeptide:H<sup>+</sup> symporter DtpB,YHIP-MONOMER,dtpB
cytidine/deoxycytidine deaminase,CYTIDEAM-MONOMER,cdd
putative patatin-like phospholipase YjjU,G7951-MONOMER,yjjU
putative TonB-dependent outer membrane receptor,G6762-MONOMER,yncD
inner membrane protein YohK,EG12024-MONOMER,yohK
conserved protein QueE,G7443-MONOMER,queE
dTDP-glucose pyrophosphorylase,DTDPGLUCOSEPP-MONOMER,rfbA
nitrate reductase Z subunit &alpha;,NARZ-MONOMER,narZ
"3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive",AROH-MONOMER,aroH
DUF3302 domain-containing protein YibI,EG11765-MONOMER,yibI
uncharacterized protein YggE,EG11244-MONOMER,yggE
uncharacterized protein YbfK,MONOMER0-2815,ybfK
<i>N</i>-acetylneuraminic acid outer membrane channel,G7921-MONOMER,nanC
geranyl diphosphate/farnesyl diphosphate synthase,FPPSYN-MONOMER,ispA
selenocysteine synthase,EG10941-MONOMER,selA
putative fimbrial protein YgiL,EG12363-MONOMER,ygiL
spermidine <i>N</i>-acetyltransferase,SPERMACTRAN-MONOMER,speG
"conserved protein, rhs-like YlbH",G6271-MONOMER,ylbH
putative D/L-serine transporter,YHAO-MONOMER,yhaO
phosphotyrosine-protein phosphatase,G6503-MONOMER,etp
DUF445 domain-containing protein YjiN,G7933-MONOMER,yjiN
DUF1338 domain-containing protein YdcJ,G6738-MONOMER,ydcJ
protein YfbN,G7180-MONOMER,yfbN
cell division protein FtsB,G7424-MONOMER,ftsB
nicotinate-nucleotide&mdash;dimethylbenzimidazole phosphoribosyltransferase,DMBPPRIBOSYLTRANS-MONOMER,cobT
"heat shock protein, hemimethylated DNA-binding protein",G6500-MONOMER,hspQ
putative major facilitator superfamily transport protein AraJ,ARAJ-MONOMER,araJ
"bacteriophage N4 receptor, inner membrane subunit",EG11739-MONOMER,nfrB
IPR002035/DUF3520 domain-containing protein YfbK,G7177-MONOMER,yfbK
InsAB' transposase,MONOMER0-2755,insAB-1
KpLE2 phage-like element; IS911B regulator fragment,G7904-MONOMER,insN-2
inorganic pyrophosphatase,INORGPYROPHOSPHAT-MONOMER,ppa
30S ribosomal subunit protein S12,EG10911-MONOMER,rpsL
DNA-binding transcriptional activator CdaR,EG12335-MONOMER,cdaR
putative DNA-binding transcriptional regulator YdjF,G6957-MONOMER,ydjF
DNA-binding transcriptional activator DecR,G6247-MONOMER,decR
glycine betaine ABC transporter periplasmic binding protein OsmF,YEHZ-MONOMER,osmF
DNA-binding transcriptional repressor AgaR,G7630-MONOMER,agaR
G6716-MONOMER,G6716-MONOMER,paaH
L-valine exporter subunit YgaZ,G7405-MONOMER,ygaZ
protein HyaF,EG10473-MONOMER,hyaF
diacylglycerol kinase,DIACYLGLYKIN-MONOMER,dgkA
anaerobic glycerol-3-phosphate dehydrogenase subunit C,ANGLYC3PDEHYDROGSUBUNITC-MONOMER,glpC
imidazole glycerol phosphate synthase subunit HisF,CYCLASE-MONOMER,hisF
putative LysR-type transcriptional regulator YidZ,EG11721-MONOMER,yidZ
UPF0370 protein YpfN,MONOMER0-2685,ypfN
DUF4132 domain-containing protein YehI,EG11995-MONOMER,yehI
putative transcriptional regulator BdcR,G7882-MONOMER,bdcR
50S ribosomal subunit protein L32,EG10890-MONOMER,rpmF
putative <i>N</i>-acetylmannosamine-6-phosphate epimerase,NANE-MONOMER,nanE
EG12312-MONOMER,EG12312-MONOMER,coaE
conserved protein YaiS,G6216-MONOMER,yaiS
clamp-binding sister replication fork colocalization protein,EG11210-MONOMER,crfC
"putative D,D-dipeptide ABC transporter membrane subunit DdpB",YDDR-MONOMER,ddpB
nucleotide binding filament protein,G6699-MONOMER,uspF
protein disulfide oxidoreductase - DsbB<sub>oxidised</sub>,MONOMER0-4142,dsbB
iron(III) hydroxamate ABC transporter periplasmic binding protein,FHUD-MONOMER,fhuD
CP4-57 prophage; putative antirestriction protein,G7378-MONOMER,yfjX
