bact:SYA_ECOLI	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	uniprot:P00957	alaS lovB b2697 JW2667
bact:SYC_ECOLI	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	uniprot:P21888	cysS b0526 JW0515
bact:SYD_ECOLI	Aspartate--tRNA ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	uniprot:P21889	aspS tls b1866 JW1855
bact:SYE_ECOLI	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	uniprot:P04805	gltX b2400 JW2395
bact:SYFA_ECOLI	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	uniprot:P08312	pheS b1714 JW5277
bact:SYFB_ECOLI	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	uniprot:P07395	pheT b1713 JW1703
bact:SYGA_ECOLI	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)	uniprot:P00960	glyQ glyS(A) b3560 JW3531
bact:SYGB_ECOLI	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	uniprot:P00961	glyS glyS(B) b3559 JW3530
bact:SYH_ECOLI	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	uniprot:P60906	hisS b2514 JW2498
bact:SYI_ECOLI	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	uniprot:P00956	ileS ilvS b0026 JW0024
bact:SYK1_ECOLI	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	uniprot:P0A8N3	lysS asuD herC b2890 JW2858
bact:SYK2_ECOLI	Lysine--tRNA ligase, heat inducible (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	uniprot:P0A8N5	lysU b4129 JW4090
bact:SYL_ECOLI	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	uniprot:P07813	leuS b0642 JW0637
bact:SYM_ECOLI	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	uniprot:P00959	metG b2114 JW2101
bact:SYN_ECOLI	Asparagine--tRNA ligase (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	uniprot:P0A8M0	asnS tss b0930 JW0913
bact:SYP_ECOLI	Proline--tRNA ligase (EC 6.1.1.15) (Global RNA synthesis factor) (Prolyl-tRNA synthetase) (ProRS)	uniprot:P16659	proS drpA b0194 JW0190
bact:SYQ_ECOLI	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	uniprot:P00962	glnS b0680 JW0666
bact:SYR_ECOLI	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	uniprot:P11875	argS b1876 JW1865
bact:SYS_ECOLI	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	uniprot:P0A8L1	serS b0893 JW0876
bact:SYT_ECOLI	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	uniprot:P0A8M3	thrS b1719 JW1709
bact:SYV_ECOLI	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	uniprot:P07118	valS b4258 JW4215
bact:SYW_ECOLI	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	uniprot:P00954	trpS b3384 JW3347
bact:SYY_ECOLI	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	uniprot:P0AGJ9	tyrS b1637 JW1629
bact:TALA_ECOLI	Transaldolase A (EC 2.2.1.2)	uniprot:P0A867	talA b2464 JW2448
bact:TALB_ECOLI	Transaldolase B (EC 2.2.1.2)	uniprot:P0A870	talB yaaK b0008 JW0007
bact:TAM_ECOLI	Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	uniprot:P76145	tam yneD b1519 JW1512
bact:TAUA_ECOLI	Taurine-binding periplasmic protein (Sulfate starvation-induced protein 1) (SSI1)	uniprot:Q47537	tauA ssiA yaiR b0365 JW0357
bact:TAUB_ECOLI	Taurine import ATP-binding protein TauB (EC 3.6.3.36)	uniprot:Q47538	tauB ssiB yaiQ b0366 JW0358
bact:TAUC_ECOLI	Taurine transport system permease protein TauC	uniprot:Q47539	tauC ssiC yaiJ b0367 JW0359
bact:TAUD_ECOLI	Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17) (2-aminoethanesulfonate dioxygenase) (Sulfate starvation-induced protein 3) (SSI3)	uniprot:P37610	tauD ssiD yaiG b0368 JW0360
bact:TDCB_ECOLI	L-threonine dehydratase catabolic TdcB (EC 4.3.1.19) (L-serine dehydratase) (EC 4.3.1.17) (Threonine deaminase)	uniprot:P0AGF6	tdcB b3117 JW3088
bact:TDCC_ECOLI	Threonine/serine transporter TdcC (H(+)/threonine-serine symporter)	uniprot:P0AAD8	tdcC b3116 JW3087
bact:TDCD_ECOLI	Propionate kinase (EC 2.7.2.15)	uniprot:P11868	tdcD yhaA b3115 JW5806
bact:TDCE_ECOLI	PFL-like enzyme TdcE (Keto-acid formate acetyltransferase) (Keto-acid formate-lyase) (Ketobutyrate formate-lyase) (KFL) (EC 2.3.1.-) (Pyruvate formate-lyase) (PFL) (EC 2.3.1.54)	uniprot:P42632	tdcE yhaS b3114 JW5522
bact:TDCG_ECOLI	L-serine dehydratase TdcG (SDH) (EC 4.3.1.17) (L-serine deaminase)	uniprot:P42630	tdcG yhaP yhaQ b4471 JW5520
bact:TDH_ECOLI	L-threonine 3-dehydrogenase (TDH) (EC 1.1.1.103) (L-threonine dehydrogenase)	uniprot:P07913	tdh b3616 JW3591
bact:TESA_ECOLI	Thioesterase 1/protease 1/lysophospholipase L1 (TAP) (Acyl-CoA thioesterase 1) (TESA) (EC 3.1.2.2) (Acyl-CoA thioesterase I) (Arylesterase) (EC 3.1.1.2) (Lysophospholipase L1) (EC 3.1.1.5) (Oleoyl-[acyl-carrier-protein] hydrolase) (EC 3.1.2.14) (Phospholipid degradation C) (Pldc) (Protease 1) (EC 3.4.21.-) (Protease I) (Thioesterase I/protease I) (TEP-I)	uniprot:P0ADA1	tesA apeA pldC b0494 JW0483
bact:TESB_ECOLI	Acyl-CoA thioesterase 2 (EC 3.1.2.-) (Acyl-CoA thioesterase II) (TEII)	uniprot:P0AGG2	tesB b0452 JW0442
bact:THIB_ECOLI	Thiamine-binding periplasmic protein	uniprot:P31550	thiB tbpA yabL b0068 JW0067
bact:THIC_ECOLI	Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)	uniprot:P30136	thiC b3994 JW3958
bact:THID_ECOLI	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase)	uniprot:P76422	thiD thiJ b2103 JW2090
bact:THIE_ECOLI	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)	uniprot:P30137	thiE b3993 JW3957
bact:THIF_ECOLI	Sulfur carrier protein ThiS adenylyltransferase (EC 2.7.7.73)	uniprot:P30138	thiF b3992 JW3956
bact:THIG_ECOLI	Thiazole synthase (EC 2.8.1.10)	uniprot:P30139	thiG b3991 JW5549
bact:THIH_ECOLI	2-iminoacetate synthase (EC 4.1.99.19) (Dehydroglycine synthase) (Tyrosine lyase)	uniprot:P30140	thiH b3990 JW3953
bact:THII_ECOLI	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	uniprot:P77718	thiI yajK b0423 JW0413
bact:THIK_ECOLI	Thiamine kinase (EC 2.7.1.89)	uniprot:P75948	thiK ycfN b1106 JW1092
bact:THIL_ECOLI	Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)	uniprot:P0AGG0	thiL b0417 JW0407
bact:THIM_ECOLI	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase)	uniprot:P76423	thiM b2104 JW2091
bact:THIO2_ECOLI	Thioredoxin 2 (Trx-2) (EC 1.8.1.8) (Protein-disulfide reductase)	uniprot:P0AGG4	trxC yfiG b2582 JW2566
bact:THIO_ECOLI	Thioredoxin 1 (Trx-1)	uniprot:P0AA25	trxA fipA tsnC b3781 JW5856
bact:THIP_ECOLI	Thiamine transport system permease protein ThiP	uniprot:P31549	thiP yabK b0067 JW0066
bact:THIQ_ECOLI	Thiamine import ATP-binding protein ThiQ (EC 3.6.3.-)	uniprot:P31548	thiQ yabJ b0066 JW0065
bact:THIS_ECOLI	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	uniprot:O32583	thiS thiG1 b4407 JW3955
bact:THRC_ECOLI	Threonine synthase (TS) (EC 4.2.3.1)	uniprot:P00934	thrC b0004 JW0003
bact:THTM_ECOLI	3-mercaptopyruvate sulfurtransferase (MST) (EC 2.8.1.2) (Rhodanese-like protein)	uniprot:P31142	sseA b2521 JW2505
bact:TKT1_ECOLI	Transketolase 1 (TK 1) (EC 2.2.1.1)	uniprot:P27302	tktA tkt b2935 JW5478
bact:TKT2_ECOLI	Transketolase 2 (TK 2) (EC 2.2.1.1)	uniprot:P33570	tktB b2465 JW2449
bact:TNAA_ECOLI	Tryptophanase (EC 4.1.99.1) (L-tryptophan indole-lyase) (TNase)	uniprot:P0A853	tnaA ind b3708 JW3686
bact:TNAB_ECOLI	Low affinity tryptophan permease	uniprot:P23173	tnaB trpP b3709 JW5619/JW5622
bact:TOLC_ECOLI	Outer membrane protein TolC (Multidrug efflux pump subunit TolC) (Outer membrane factor TolC)	uniprot:P02930	tolC colE1-i mtcB mukA refI toc weeA b3035 JW5503
bact:TONB_ECOLI	Protein TonB	uniprot:P02929	tonB exbA b1252 JW5195
bact:TORA_ECOLI	Trimethylamine-N-oxide reductase 1 (TMAO reductase 1) (Trimethylamine oxidase 1) (EC 1.7.2.3)	uniprot:P33225	torA b0997 JW0982
bact:TORC_ECOLI	Cytochrome c-type protein TorC	uniprot:P33226	torC b0996 JW0981
bact:TORY_ECOLI	Cytochrome c-type protein TorY	uniprot:P52005	torY yecK b1873 JW1862
bact:TORZ_ECOLI	Trimethylamine-N-oxide reductase 2 (TMAO reductase 2) (Trimethylamine oxidase 2) (EC 1.7.2.3)	uniprot:P46923	torZ bisZ b1872 JW1861
bact:TPIS_ECOLI	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	uniprot:P0A858	tpiA tpi b3919 JW3890
bact:TREA_ECOLI	Periplasmic trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase) (Tre37A)	uniprot:P13482	treA osmA b1197 JW1186
bact:TREC_ECOLI	Trehalose-6-phosphate hydrolase (EC 3.2.1.93) (Alpha,alpha-phosphotrehalase)	uniprot:P28904	treC olgH b4239 JW4198
bact:TREF_ECOLI	Cytoplasmic trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)	uniprot:P62601	treF b3519 JW3487
bact:TRKA_ECOLI	Trk system potassium uptake protein TrkA (K(+)-uptake protein TrkA)	uniprot:P0AGI8	trkA b3290 JW3251
bact:TRKG_ECOLI	Trk system potassium uptake protein TrkG	uniprot:P23849	trkG b1363 JW1358
bact:TRKH_ECOLI	Trk system potassium uptake protein TrkH	uniprot:P0AFZ7	trkH b3849 JW5576
bact:TRPA_ECOLI	Tryptophan synthase alpha chain (EC 4.2.1.20)	uniprot:P0A877	trpA b1260 JW1252
bact:TRPB_ECOLI	Tryptophan synthase beta chain (EC 4.2.1.20)	uniprot:P0A879	trpB b1261 JW1253
bact:TRPC_ECOLI	Tryptophan biosynthesis protein TrpCF [Includes: Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48); N-(5'-phospho-ribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)]	uniprot:P00909	trpC trpF b1262 JW1254
bact:TRPE_ECOLI	Anthranilate synthase component 1 (AS) (ASI) (EC 4.1.3.27)	uniprot:P00895	trpE b1264 JW1256
bact:TRPGD_ECOLI	Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]	uniprot:P00904	trpGD trpD b1263 JW1255
bact:TRXB_ECOLI	Thioredoxin reductase (TRXR) (EC 1.8.1.9)	uniprot:P0A9P4	trxB b0888 JW0871
bact:TSX_ECOLI	Nucleoside-specific channel-forming protein tsx	uniprot:P0A927	tsx nupA b0411 JW0401
bact:TTDA_ECOLI	L(+)-tartrate dehydratase subunit alpha (L-TTD alpha) (EC 4.2.1.32)	uniprot:P05847	ttdA ygjA b3061 JW3033
bact:TTDB_ECOLI	L(+)-tartrate dehydratase subunit beta (L-TTD beta) (EC 4.2.1.32)	uniprot:P0AC35	ttdB ygjB b3062 JW3034
bact:TTDT_ECOLI	L-tartrate/succinate antiporter (Tartrate carrier) (Tartrate transporter)	uniprot:P39414	ttdT ygjC ygjE b3063 JW3035
bact:TYPH_ECOLI	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)	uniprot:P07650	deoA tpp ttg b4382 JW4345
bact:TYRA_ECOLI	T-protein [Includes: Chorismate mutase (CM) (EC 5.4.99.5); Prephenate dehydrogenase (PDH) (EC 1.3.1.12)]	uniprot:P07023	tyrA b2600 JW2581
bact:TYRB_ECOLI	Aromatic-amino-acid aminotransferase (ARAT) (AROAT) (EC 2.6.1.57) (Beta-methylphenylalanine transaminase) (EC 2.6.1.107)	uniprot:P04693	tyrB b4054 JW4014
bact:TYRP_ECOLI	Tyrosine-specific transport protein (Tyrosine permease)	uniprot:P0AAD4	tyrP b1907 JW1895
bact:TYSY_ECOLI	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	uniprot:P0A884	thyA b2827 JW2795
bact:UBIA_ECOLI	4-hydroxybenzoate octaprenyltransferase (EC 2.5.1.-) (4-HB polyprenyltransferase)	uniprot:P0AGK1	ubiA cyr b4040 JW4000
bact:UBIB_ECOLI	Probable protein kinase UbiB (EC 2.7.-.-) (Ubiquinone biosynthesis protein UbiB)	uniprot:P0A6A0	ubiB aarF yigQ yigR yigS b3835 JW3812
bact:UBIC_ECOLI	Chorismate pyruvate-lyase (CL) (CPL) (EC 4.1.3.40)	uniprot:P26602	ubiC b4039 JW5713
bact:UBID_ECOLI	3-octaprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.98) (Polyprenyl p-hydroxybenzoate decarboxylase)	uniprot:P0AAB4	ubiD yigC yigY b3843 JW3819
bact:UBIE_ECOLI	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (EC 2.1.1.163) (EC 2.1.1.201) (2-methoxy-6-polyprenyl-1,4-benzoquinol methylase) (Demethylmenaquinone methyltransferase)	uniprot:P0A887	ubiE yigO b3833 JW5581
bact:UBIF_ECOLI	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)	uniprot:P75728	ubiF yleB b0662 JW0659
bact:UBIG_ECOLI	Ubiquinone biosynthesis O-methyltransferase (2-octaprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone-8 3-O-methyltransferase) (EC 2.1.1.64)	uniprot:P17993	ubiG pufX yfaB b2232 JW2226
bact:UBIH_ECOLI	2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)	uniprot:P25534	ubiH visB b2907 JW2875
bact:UBIX_ECOLI	Flavin prenyltransferase UbiX (EC 2.5.1.129)	uniprot:P0AG03	ubiX dedF b2311 JW2308
bact:UDG_ECOLI	UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)	uniprot:P76373	ugd pmrE udg yefA b2028 JW2010
bact:UDP_ECOLI	Uridine phosphorylase (UPase) (UrdPase) (EC 2.4.2.3)	uniprot:P12758	udp b3831 JW3808
bact:UGPA_ECOLI	sn-glycerol-3-phosphate transport system permease protein UgpA	uniprot:P10905	ugpA b3452 JW3417
bact:UGPB_ECOLI	sn-glycerol-3-phosphate-binding periplasmic protein UgpB	uniprot:P0AG80	ugpB b3453 JW3418
bact:UGPC_ECOLI	sn-glycerol-3-phosphate import ATP-binding protein UgpC (EC 3.6.3.20)	uniprot:P10907	ugpC b3450 JW3415
bact:UGPE_ECOLI	sn-glycerol-3-phosphate transport system permease protein UgpE	uniprot:P10906	ugpE b3451 JW3416
bact:UGPQ_ECOLI	Glycerophosphodiester phosphodiesterase, cytoplasmic (Glycerophosphoryl diester phosphodiesterase, cytoplasmic) (EC 3.1.4.46)	uniprot:P10908	ugpQ b3449 JW3414
bact:UHPT_ECOLI	Hexose-6-phosphate:phosphate antiporter	uniprot:P0AGC0	uhpT b3666 JW3641
bact:ULAA_ECOLI	Ascorbate-specific PTS system EIIC component (Ascorbate-specific permease IIC component UlaA)	uniprot:P39301	ulaA sgaT yjfS b4193 JW5744
bact:ULAB_ECOLI	Ascorbate-specific PTS system EIIB component (EC 2.7.1.194) (Ascorbate-specific phosphotransferase enzyme IIB component)	uniprot:P69822	ulaB sgaB yjfT b4194 JW4152
bact:ULAC_ECOLI	Ascorbate-specific PTS system EIIA component (EC 2.7.1.194) (Ascorbate-specific phosphotransferase enzyme IIA component)	uniprot:P69820	ulaC ptxA sgaA yjfU b4195 JW4153
bact:ULAD_ECOLI	3-keto-L-gulonate-6-phosphate decarboxylase UlaD (EC 4.1.1.85) (3-dehydro-L-gulonate-6-phosphate decarboxylase) (KGPDC) (L-ascorbate utilization protein D)	uniprot:P39304	ulaD sgaH yjfV b4196 JW4154
bact:ULAE_ECOLI	L-ribulose-5-phosphate 3-epimerase UlaE (EC 5.1.3.22) (L-ascorbate utilization protein E) (L-xylulose-5-phosphate 3-epimerase)	uniprot:P39305	ulaE sgaU yjfW b4197 JW4155
bact:ULAF_ECOLI	L-ribulose-5-phosphate 4-epimerase UlaF (EC 5.1.3.4) (L-ascorbate utilization protein F) (Phosphoribulose isomerase)	uniprot:P39306	ulaF sgaE yjfX b4198 JW4156
bact:ULAG_ECOLI	Probable L-ascorbate-6-phosphate lactonase UlaG (EC 3.1.1.-) (L-ascorbate utilization protein G)	uniprot:P39300	ulaG yjfR b4192 JW5868
bact:UPPP_ECOLI	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uniprot:P60932	uppP bacA upk b3057 JW3029
bact:UPPS_ECOLI	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific) (EC 2.5.1.31) (Ditrans,polycis-undecaprenylcistransferase) (Undecaprenyl diphosphate synthase) (UDS) (Undecaprenyl pyrophosphate synthase) (UPP synthase)	uniprot:P60472	ispU rth uppS yaeS b0174 JW0169
bact:UPP_ECOLI	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	uniprot:P0A8F0	upp uraP b2498 JW2483
bact:URAA_ECOLI	Uracil permease (Uracil transporter)	uniprot:P0AGM7	uraA b2497 JW2482
bact:URK_ECOLI	Uridine kinase (EC 2.7.1.48) (Cytidine monophosphokinase) (Uridine monophosphokinase)	uniprot:P0A8F4	udk b2066 JW2051
bact:USHA_ECOLI	Protein UshA [Includes: UDP-sugar hydrolase (EC 3.6.1.45) (UDP-sugar diphosphatase) (UDP-sugar pyrophosphatase); 5'-nucleotidase (5'-NT) (EC 3.1.3.5)]	uniprot:P07024	ushA b0480 JW0469
bact:UXAA_ECOLI	Altronate dehydratase (EC 4.2.1.7) (D-altronate hydro-lyase)	uniprot:P42604	uxaA ygjW b3091 JW3062
bact:UXAB_ECOLI	Altronate oxidoreductase (EC 1.1.1.58) (Tagaturonate dehydrogenase) (Tagaturonate reductase)	uniprot:P0A6L7	uxaB b1521 JW1514
bact:UXAC_ECOLI	Uronate isomerase (EC 5.3.1.12) (Glucuronate isomerase) (Uronic isomerase)	uniprot:P0A8G3	uxaC ygjX ygjY ygjZ b3092 JW3063
bact:UXUA_ECOLI	Mannonate dehydratase (EC 4.2.1.8) (D-mannonate hydro-lyase)	uniprot:P24215	uxuA b4322 JW4285
bact:UXUB_ECOLI	D-mannonate oxidoreductase (EC 1.1.1.57) (Fructuronate reductase)	uniprot:P39160	uxuB b4323 JW4286
bact:WAAU_ECOLI	Lipopolysaccharide 1,2-N-acetylglucosaminetransferase (EC 2.4.1.56)	uniprot:P27242	waaU rfaK waaK b3623 JW3598
bact:WBBI_ECOLI	Beta-1,6-galactofuranosyltransferase WbbI (EC 2.4.1.-) (D-Galf:alpha-D-Glc beta-1,6-galactofuranosyltransferase) (GalF transferase)	uniprot:P37749	wbbI yefG b2034 JW2019
bact:WBBJ_ECOLI	Putative lipopolysaccharide biosynthesis O-acetyl transferase WbbJ (EC 2.3.1.-)	uniprot:P37750	wbbJ yefH b2033 JW2018
bact:WBBK_ECOLI	Putative glycosyltransferase WbbK	uniprot:P37751	wbbK yefI b2032 JW2017
bact:WCAK_ECOLI	Colanic acid biosynthesis protein WcaK (EC 2.-.-.-)	uniprot:P71242	wcaK b2045 JW2030
bact:WECA_ECOLI	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33) (UDP-GlcNAc:undecaprenyl-phosphate GlcNAc-1-phosphate transferase) (Undecaprenyl-phosphate GlcNAc-1-phosphate transferase)	uniprot:P0AC78	wecA rfe b3784 JW3758
bact:WECB_ECOLI	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14) (Bacteriophage N4 adsorption protein C) (UDP-GlcNAc-2-epimerase)	uniprot:P27828	wecB nfrC rffE yifF b3786 JW5600
bact:WECC_ECOLI	UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.336) (UDP-ManNAc 6-dehydrogenase)	uniprot:P27829	wecC rffD b3787 JW5599
bact:WECD_ECOLI	dTDP-fucosamine acetyltransferase (EC 2.3.1.210) (TDP-fucosamine acetyltransferase) (dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase)	uniprot:P27832	wecD rffC yifH b3790 JW5597
bact:WECE_ECOLI	dTDP-4-amino-4,6-dideoxygalactose transaminase (EC 2.6.1.59)	uniprot:P27833	wecE rffA yifI b3791 JW3765
bact:WECF_ECOLI	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase (EC 2.4.1.325) (4-alpha-L-fucosyltransferase) (TDP-Fuc4NAc:lipid II Fuc4NAc transferase) (Fuc4NAc transferase)	uniprot:P56258	wecF rffT yifM b4481 JW5596
bact:WECG_ECOLI	UDP-N-acetyl-D-mannosaminuronic acid transferase (UDP-ManNAcA transferase) (EC 2.4.1.180)	uniprot:P27836	wecG rffM b3794 JW3770
bact:WZXE_ECOLI	Lipid III flippase	uniprot:P0AAA7	wzxE wzx yifJ b3792 JW3766
bact:WZYE_ECOLI	Probable ECA polymerase	uniprot:P27835	wzyE wzy b3793 JW3769
bact:WZZB_ECOLI	Chain length determinant protein (Polysaccharide antigen chain regulator)	uniprot:P76372	wzzB cld rol wzz b2027 JW5836
bact:WZZE_ECOLI	ECA polysaccharide chain length modulation protein	uniprot:P0AG00	wzzE wzz yifC b3785 JW5601
bact:XANP_ECOLI	Xanthine permease XanP	uniprot:P0AGM9	xanP yicE b3654 JW3629
bact:XANQ_ECOLI	Xanthine permease XanQ	uniprot:P67444	xanQ ygfO b2882 JW2850
bact:XAPA_ECOLI	Purine nucleoside phosphorylase 2 (EC 2.4.2.1) (Inosine-guanosine phosphorylase) (Purine nucleoside phosphorylase II) (PNP II) (Xanthosine phosphorylase)	uniprot:P45563	xapA pndA b2407 JW2398
bact:XAPB_ECOLI	Xanthosine permease (Xanthosine transporter)	uniprot:P45562	xapB b2406 JW2397
bact:XDHA_ECOLI	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA (EC 1.17.1.4)	uniprot:Q46799	xdhA ygeS b2866 JW5462
bact:XDHB_ECOLI	Putative xanthine dehydrogenase FAD-binding subunit XdhB (EC 1.17.1.4)	uniprot:Q46800	xdhB ygeT b2867 JW2835
bact:XDHC_ECOLI	Putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC	uniprot:Q46801	xdhC ygeU b2868 JW2836
bact:XGPT_ECOLI	Xanthine phosphoribosyltransferase (EC 2.4.2.22) (Xanthine-guanine phosphoribosyltransferase) (XGPRT)	uniprot:P0A9M5	gpt gpp gxu b0238 JW0228
bact:XYLA_ECOLI	Xylose isomerase (EC 5.3.1.5) (D-xylulose keto-isomerase)	uniprot:P00944	xylA b3565 JW3537
bact:XYLB_ECOLI	Xylulose kinase (Xylulokinase) (EC 2.7.1.17)	uniprot:P09099	xylB b3564 JW3536
bact:XYLE_ECOLI	D-xylose-proton symporter (D-xylose transporter)	uniprot:P0AGF4	xylE b4031 JW3991
bact:XYLF_ECOLI	D-xylose-binding periplasmic protein	uniprot:P37387	xylF xylT b3566 JW3538
bact:XYLG_ECOLI	Xylose import ATP-binding protein XylG (EC 3.6.3.17)	uniprot:P37388	xylG b3567 JW3539
bact:XYLH_ECOLI	Xylose transport system permease protein XylH	uniprot:P0AGI4	xylH b3568 JW3540
bact:YAAJ_ECOLI	Uncharacterized transporter YaaJ	uniprot:P30143	yaaJ b0007 JW0006
bact:YBGC_ECOLI	Acyl-CoA thioester hydrolase YbgC (Acyl-CoA thioesterase) (EC 3.1.2.-)	uniprot:P0A8Z3	ybgC b0736 JW0726
bact:YBHA_ECOLI	Pyridoxal phosphate phosphatase YbhA (PLP phosphatase) (EC 3.1.3.74)	uniprot:P21829	ybhA b0766 JW0749
bact:YBJG_ECOLI	Putative undecaprenyl-diphosphatase YbjG (EC 3.6.1.27) (Undecaprenyl pyrophosphate phosphatase)	uniprot:P75806	ybjG b0841 JW5112
bact:YDCS_ECOLI	Putative ABC transporter periplasmic-binding protein YdcS	uniprot:P76108	ydcS b1440 JW1435
bact:YDCT_ECOLI	Uncharacterized ABC transporter ATP-binding protein YdcT	uniprot:P77795	ydcT b1441 JW1436
bact:YDCU_ECOLI	Inner membrane ABC transporter permease protein YdcU	uniprot:P77156	ydcU b1442 JW1437
bact:YDCV_ECOLI	Inner membrane ABC transporter permease protein YdcV	uniprot:P0AFR9	ydcV b1443 JW1438
bact:YDDG_ECOLI	Aromatic amino acid exporter YddG	uniprot:P46136	yddG b1473 JW1469
bact:YDFG_ECOLI	NADP-dependent 3-hydroxy acid dehydrogenase YdfG (L-allo-threonine dehydrogenase) (EC 1.1.1.381) (Malonic semialdehyde reductase) (EC 1.1.1.298)	uniprot:P39831	ydfG b1539 JW1532
